plotcode,year,species_other,AGB.mix,Richness,biomass,AGB.mono
B1A01,2003,Aju.rep,0.125,16,17,1.0625
B1A01,2003,Ant.odo,10.425,16,377.05,23.565625
B1A01,2003,Ant.syl,0.025,16,64.8,4.05
B1A01,2003,Ave.pub,6.525,16,614.4,38.4
B1A01,2003,Bro.hor,3.25,16,268.75,16.796875
B1A01,2003,Car.car,4.2775,16,285.725,17.8578125
B1A01,2003,Ger.pra,3.375,16,237.025,14.8140625
B1A01,2003,Lat.pra,0.7775,16,356.275,22.2671875
B1A01,2003,Lot.cor,59.325,16,481.8,30.1125
B1A01,2003,Pla.lan,127.175,16,422.825,26.4265625
B1A01,2003,Poa.pra,10.825,16,263.8,16.4875
B1A01,2003,Ran.rep,6.825,16,198.875,12.4296875
B1A01,2003,Tar.off,235.825,16,364.975,22.8109375
B1A01,2003,Tra.pra,44.3,16,332.725,20.7953125
B1A01,2003,Vic.cra,29.625,16,67.85,4.240625
B1A02,2003,Alo.pra,107.075,8,464.425,58.053125
B1A02,2003,Bro.ere,1.05,8,1013.825,126.728125
B1A02,2003,Fes.rub,123.95,8,469,58.625
B1A02,2003,Ran.acr,0.5,8,309.75,38.71875
B1A02,2003,San.off,0,8,268.425,33.553125
B1A03,2003,Gle.hed,9.275,8,137.975,17.246875
B1A03,2003,Lot.cor,223.15,8,481.8,60.225
B1A03,2003,Med.lup,4.975,8,18.7,2.3375
B1A03,2003,Pri.ver,0,8,23.425,2.928125
B1A03,2003,Ver.cha,8.475,8,223.075,27.884375
B1A04,2003,Pla.lan,67.925,4,422.825,105.70625
B1A05,2003,Med.lup,6.6,2,18.7,9.35
B1A06,2003,Ach.mil,269,16,772.3,48.26875
B1A06,2003,Alo.pra,72.575,16,464.425,29.0265625
B1A06,2003,Ant.odo,2.2,16,377.05,23.565625
B1A06,2003,Ant.syl,0,16,64.8,4.05
B1A06,2003,Ave.pub,2.775,16,614.4,38.4
B1A06,2003,Bro.hor,1.75,16,268.75,16.796875
B1A06,2003,Cen.jac,121.05,16,997.55,62.346875
B1A06,2003,Ger.pra,1.98,16,237.025,14.8140625
B1A06,2003,Hol.lan,49.3,16,502.625,31.4140625
B1A06,2003,Leu.vul,194.425,16,799.075,49.9421875
B1A06,2003,Poa.pra,4.505,16,263.8,16.4875
B1A06,2003,Poa.tri,67.7,16,232.175,14.5109375
B1A07,2003,Ran.acr,235.125,2,309.75,154.875
B1A07,2003,San.off,9.5,2,268.425,134.2125
B1A11,2003,Ach.mil,263.475,16,772.3,48.26875
B1A11,2003,Ant.syl,0,16,64.8,4.05
B1A11,2003,Cir.ole,21.175,16,532.425,33.2765625
B1A11,2003,Cre.bie,108.5,16,691.95,43.246875
B1A11,2003,Dau.car,74.75,16,601.5,37.59375
B1A11,2003,Gal.mol,11.25,16,553.325,34.5828125
B1A11,2003,Ger.pra,0.625,16,237.025,14.8140625
B1A11,2003,Leu.vul,339.425,16,799.075,49.9421875
B1A11,2003,Ran.acr,0.75,16,309.75,19.359375
B1A11,2003,Rum.ace,123.25,16,472.8,29.55
B1A11,2003,San.off,0,16,268.425,16.7765625
B1A11,2003,Tra.pra,91.75,16,332.725,20.7953125
B1A12,2003,Lat.pra,29.7,8,356.275,44.534375
B1A12,2003,Med.lup,5.425,8,18.7,2.3375
B1A12,2003,Med.var,153.75,8,1023.8,127.975
B1A12,2003,Tri.hyb,192,8,489.625,61.203125
B1A12,2003,Tri.pra,143.625,8,437.625,54.703125
B1A13,2003,Lot.cor,10.925,4,481.8,120.45
B1A13,2003,Med.lup,2.3,4,18.7,4.675
B1A13,2003,Med.var,161.75,4,1023.8,255.95
B1A14,2003,Ant.syl,0.65,8,64.8,8.1
B1A14,2003,Dau.car,378.5,8,601.5,75.1875
B1A14,2003,Leo.his,10.1,8,505.075,63.134375
B1A14,2003,Pla.lan,142.775,8,422.825,52.853125
B1A14,2003,Tri.fra,0.0125,8,111.75,13.96875
B1A16,2003,Pla.lan,391.025,2,422.825,211.4125
B1A16,2003,Poa.pra,49.575,2,263.8,131.9
B1A17,2003,Alo.pra,281.15,2,464.425,232.2125
B1A17,2003,Dau.car,336.8,2,601.5,300.75
B1A19,2003,Arr.ela,773.5,4,859.05,214.7625
B1A19,2003,Pru.vul,109.25,4,481.55,120.3875
B1A20,2003,Ach.mil,138.9,16,772.3,48.26875
B1A20,2003,Aju.rep,0,16,17,1.0625
B1A20,2003,Bel.per,0.7,16,7.65,0.478125
B1A20,2003,Ger.pra,1.85,16,237.025,14.8140625
B1A20,2003,Kna.arv,32,16,1122.95,70.184375
B1A20,2003,Leo.aut,16.075,16,550.625,34.4140625
B1A20,2003,Leo.his,0.175,16,505.075,31.5671875
B1A20,2003,Lot.cor,9.2,16,481.8,30.1125
B1A20,2003,Med.var,47.5,16,1023.8,63.9875
B1A20,2003,Pla.lan,67.85,16,422.825,26.4265625
B1A20,2003,Ran.acr,0.075,16,309.75,19.359375
B1A20,2003,San.off,0,16,268.425,16.7765625
B1A20,2003,Tri.hyb,90.575,16,489.625,30.6015625
B1A20,2003,Tri.rep,19.85,16,434.5,27.15625
B1A20,2003,Ver.cha,7.035,16,223.075,13.9421875
B1A21,2003,Ach.mil,593.025,4,772.3,193.075
B1A21,2003,Cre.bie,185.975,4,691.95,172.9875
B2A01,2003,Ant.odo,35.825,4,377.05,94.2625
B2A01,2003,Kna.arv,338.5,4,1122.95,280.7375
B2A01,2003,Pru.vul,24.025,4,481.55,120.3875
B2A01,2003,Tri.pra,525.875,4,437.625,109.40625
B2A02,2003,Fes.rub,520.125,2,469,234.5
B2A06,2003,Lat.pra,0.525,4,356.275,89.06875
B2A06,2003,Med.lup,1.2,4,18.7,4.675
B2A06,2003,Pla.lan,248.5,4,422.825,105.70625
B2A06,2003,Tar.off,188.25,4,364.975,91.24375
B2A08,2003,Ran.acr,50.25,2,309.75,154.875
B2A09,2003,Aju.rep,0.05,4,17,4.25
B2A09,2003,Pla.lan,357.25,4,422.825,105.70625
B2A09,2003,Pri.ver,0,4,23.425,5.85625
B2A09,2003,Pru.vul,35,4,481.55,120.3875
B2A10,2003,Alo.pra,37.7,16,464.425,29.0265625
B2A10,2003,Ant.odo,3.8,16,377.05,23.565625
B2A10,2003,Arr.ela,367.5,16,859.05,53.690625
B2A10,2003,Bel.per,1.4525,16,7.65,0.478125
B2A10,2003,Bro.ere,0,16,1013.825,63.3640625
B2A10,2003,Hol.lan,9.875,16,502.625,31.4140625
B2A10,2003,Leo.aut,7.4,16,550.625,34.4140625
B2A10,2003,Leo.his,2.8,16,505.075,31.5671875
B2A10,2003,Pla.lan,115.925,16,422.825,26.4265625
B2A10,2003,Poa.pra,3.35,16,263.8,16.4875
B2A10,2003,Pri.ver,0,16,23.425,1.4640625
B2A10,2003,Pru.vul,1.59,16,481.55,30.096875
B2A10,2003,Ran.rep,0,16,198.875,12.4296875
B2A10,2003,Ver.cha,2.775,16,223.075,13.9421875
B2A12,2003,Ant.syl,0,8,64.8,8.1
B2A12,2003,Gal.mol,12.975,8,553.325,69.165625
B2A12,2003,Ger.pra,2.725,8,237.025,29.628125
B2A12,2003,Kna.arv,106.25,8,1122.95,140.36875
B2A12,2003,Leu.vul,492,8,799.075,99.884375
B2A12,2003,Ran.acr,4.75,8,309.75,38.71875
B2A12,2003,San.off,0,8,268.425,33.553125
B2A14,2003,Kna.arv,105.925,8,1122.95,140.36875
B2A14,2003,Leo.his,9.4,8,505.075,63.134375
B2A14,2003,San.off,0,8,268.425,33.553125
B2A14,2003,Tri.hyb,201,8,489.625,61.203125
B2A14,2003,Ver.cha,9.75,8,223.075,27.884375
B2A16,2003,Kna.arv,462.85,4,1122.95,280.7375
B2A16,2003,Leo.aut,192.425,4,550.625,137.65625
B2A16,2003,Pla.med,55.975,4,671.1,167.775
B2A16,2003,Vic.cra,16.4,4,67.85,16.9625
B2A17,2003,Gle.hed,19.45,8,137.975,17.246875
B2A17,2003,Lat.pra,0.125,8,356.275,44.534375
B2A17,2003,Leo.aut,19.5,8,550.625,68.828125
B2A17,2003,Pla.med,7.225,8,671.1,83.8875
B2A17,2003,Tar.off,65.8,8,364.975,45.621875
B2A17,2003,Tri.fra,0,8,111.75,13.96875
B2A17,2003,Vic.cra,0,8,67.85,8.48125
B2A18,2003,Aju.rep,0.2,16,17,1.0625
B2A18,2003,Alo.pra,315.05,16,464.425,29.0265625
B2A18,2003,Ant.syl,0,16,64.8,4.05
B2A18,2003,Bro.hor,30.275,16,268.75,16.796875
B2A18,2003,Ger.pra,8.25675,16,237.025,14.8140625
B2A18,2003,Med.lup,0,16,18.7,1.16875
B2A18,2003,Pla.med,51.85,16,671.1,41.94375
B2A18,2003,Poa.pra,11.125,16,263.8,16.4875
B2A18,2003,Pri.ver,0,16,23.425,1.4640625
B2A18,2003,Ran.rep,3.7,16,198.875,12.4296875
B2A18,2003,Tri.rep,260.15,16,434.5,27.15625
B2A19,2003,Pla.med,17.35,2,671.1,335.55
B2A19,2003,Tar.off,188.675,2,364.975,182.4875
B2A20,2003,Pla.lan,514.3,2,422.825,211.4125
B2A21,2003,Cre.bie,180.5,8,691.95,86.49375
B2A21,2003,Gal.mol,34.3,8,553.325,69.165625
B2A21,2003,Leo.his,14,8,505.075,63.134375
B2A21,2003,Lot.cor,21.925,8,481.8,60.225
B2A21,2003,Med.lup,2.4,8,18.7,2.3375
B2A21,2003,Pla.med,25.6,8,671.1,83.8875
B2A21,2003,San.off,0,8,268.425,33.553125
B2A22,2003,Ach.mil,87.25,16,772.3,48.26875
B2A22,2003,Cen.jac,69.25,16,997.55,62.346875
B2A22,2003,Lat.pra,3.5,16,356.275,22.2671875
B2A22,2003,Lot.cor,16.65,16,481.8,30.1125
B2A22,2003,Poa.tri,141.325,16,232.175,14.5109375
B2A22,2003,Rum.ace,101.75,16,472.8,29.55
B2A22,2003,San.off,0,16,268.425,16.7765625
B2A22,2003,Tri.hyb,48.2,16,489.625,30.6015625
B2A22,2003,Tri.rep,27.95,16,434.5,27.15625
B2A22,2003,Vic.cra,18.45,16,67.85,4.240625
B3A02,2003,Car.car,34.275,2,285.725,142.8625
B3A03,2003,Pla.med,16.425,4,671.1,167.775
B3A03,2003,Tri.hyb,153.25,4,489.625,122.40625
B3A03,2003,Vic.cra,11.9,4,67.85,16.9625
B3A04,2003,Alo.pra,101,8,464.425,58.053125
B3A04,2003,Arr.ela,613.25,8,859.05,107.38125
B3A04,2003,Dac.glo,209.725,8,670.5,83.8125
B3A04,2003,Fes.rub,24.75,8,469,58.625
B3A04,2003,Hol.lan,13.775,8,502.625,62.828125
B3A04,2003,Poa.tri,32.15,8,232.175,29.021875
B3A05,2003,Ant.odo,5.2,8,377.05,47.13125
B3A05,2003,Ant.syl,0,8,64.8,8.1
B3A05,2003,Bro.ere,0,8,1013.825,126.728125
B3A05,2003,Leu.vul,421.25,8,799.075,99.884375
B3A05,2003,Lot.cor,14.9,8,481.8,60.225
B3A05,2003,Poa.tri,80.5,8,232.175,29.021875
B3A05,2003,Tri.hyb,205.75,8,489.625,61.203125
B3A07,2003,Bro.hor,0.8275,8,268.75,33.59375
B3A07,2003,Hol.lan,7.7,8,502.625,62.828125
B3A07,2003,Leu.vul,495.25,8,799.075,99.884375
B3A07,2003,Med.lup,0.05,8,18.7,2.3375
B3A07,2003,Pri.ver,0,8,23.425,2.928125
B3A07,2003,Ran.rep,0.5,8,198.875,24.859375
B3A08,2003,Dac.glo,611.125,2,670.5,335.25
B3A09,2003,Alo.pra,27.65,16,464.425,29.0265625
B3A09,2003,Ant.odo,4.7,16,377.05,23.565625
B3A09,2003,Arr.ela,335,16,859.05,53.690625
B3A09,2003,Ave.pub,1.65,16,614.4,38.4
B3A09,2003,Bro.ere,2.775,16,1013.825,63.3640625
B3A09,2003,Bro.hor,4.135,16,268.75,16.796875
B3A09,2003,Dac.glo,68.85,16,670.5,41.90625
B3A09,2003,Fes.rub,11.5,16,469,29.3125
B3A09,2003,Hol.lan,5,16,502.625,31.4140625
B3A09,2003,Poa.pra,0.125,16,263.8,16.4875
B3A09,2003,Poa.tri,9.5,16,232.175,14.5109375
B3A11,2003,Bro.ere,10.075,4,1013.825,253.45625
B3A11,2003,Pla.lan,348.25,4,422.825,105.70625
B3A11,2003,Poa.tri,223,4,232.175,58.04375
B3A11,2003,Pru.vul,15.675,4,481.55,120.3875
B3A13,2003,Alo.pra,479.75,4,464.425,116.10625
B3A13,2003,Ant.odo,56.5,4,377.05,94.2625
B3A13,2003,Bro.ere,18.225,4,1013.825,253.45625
B3A13,2003,Poa.tri,64.25,4,232.175,58.04375
B3A16,2003,Aju.rep,0,16,17,1.0625
B3A16,2003,Gle.hed,18.55,16,137.975,8.6234375
B3A16,2003,Lat.pra,0,16,356.275,22.2671875
B3A16,2003,Leo.his,0.25,16,505.075,31.5671875
B3A16,2003,Med.lup,2.5,16,18.7,1.16875
B3A16,2003,Pla.med,3.05,16,671.1,41.94375
B3A16,2003,Pru.vul,1.625,16,481.55,30.096875
B3A16,2003,Ran.rep,2.1,16,198.875,12.4296875
B3A16,2003,Tar.off,131.5,16,364.975,22.8109375
B3A16,2003,Tri.fra,0.5,16,111.75,6.984375
B3A16,2003,Tri.hyb,344.35,16,489.625,30.6015625
B3A16,2003,Tri.rep,31.825,16,434.5,27.15625
B3A16,2003,Ver.cha,3.1,16,223.075,13.9421875
B3A16,2003,Vic.cra,14.15,16,67.85,4.240625
B3A19,2003,Tar.off,206.175,2,364.975,182.4875
B3A20,2003,Kna.arv,243.5,8,1122.95,140.36875
B3A20,2003,Lot.cor,31.2,8,481.8,60.225
B3A20,2003,Tri.fra,0,8,111.75,13.96875
B3A20,2003,Tri.hyb,402,8,489.625,61.203125
B3A21,2003,Lot.cor,38.325,2,481.8,240.9
B3A21,2003,Tri.pra,475.725,2,437.625,218.8125
B3A22,2003,Aju.rep,0,16,17,1.0625
B3A22,2003,Ant.odo,4.35,16,377.05,23.565625
B3A22,2003,Bel.per,0.59,16,7.65,0.478125
B3A22,2003,Bro.ere,2.575,16,1013.825,63.3640625
B3A22,2003,Cre.bie,194.7,16,691.95,43.246875
B3A22,2003,Fes.rub,44.65,16,469,29.3125
B3A22,2003,Gal.mol,21.775,16,553.325,34.5828125
B3A22,2003,Ger.pra,0.325,16,237.025,14.8140625
B3A22,2003,Ran.rep,0.925,16,198.875,12.4296875
B3A22,2003,Rum.ace,118.75,16,472.8,29.55
B3A22,2003,Tri.fra,0,16,111.75,6.984375
B3A22,2003,Ver.cha,3.85,16,223.075,13.9421875
B3A22,2003,Vic.cra,86.325,16,67.85,4.240625
B3A23,2003,Bro.hor,0.01,4,268.75,67.1875
B3A23,2003,Leu.vul,660,4,799.075,199.76875
B3A23,2003,Ran.rep,0.5525,4,198.875,49.71875
B3A23,2003,Tri.fra,1.025,4,111.75,27.9375
B3A24,2003,Aju.rep,0.025,16,17,1.0625
B3A24,2003,Ant.odo,0,16,377.05,23.565625
B3A24,2003,Arr.ela,415.5,16,859.05,53.690625
B3A24,2003,Ave.pub,0.1775,16,614.4,38.4
B3A24,2003,Bro.hor,2,16,268.75,16.796875
B3A24,2003,Gle.hed,3.6,16,137.975,8.6234375
B3A24,2003,Lot.cor,6.3,16,481.8,30.1125
B3A24,2003,Med.var,228.8,16,1023.8,63.9875
B3A24,2003,Poa.tri,33.55,16,232.175,14.5109375
B3A24,2003,Pru.vul,0.05,16,481.55,30.096875
B3A24,2003,Ran.rep,0.01,16,198.875,12.4296875
B3A24,2003,Tar.off,79.5,16,364.975,22.8109375
B3A24,2003,Tri.pra,107.925,16,437.625,27.3515625
