plotcode,treatment,year,species_other,sowndiv,AGB.mix,biomass.y,AGB.mono
B1A01,D1,2017,Aju.rep,16,0,12.87,0.804375
B1A01,D1,2017,Ant.odo,16,9.425,56.72,3.545
B1A01,D1,2017,Ant.syl,16,0,200.6,12.5375
B1A01,D1,2017,Ave.pub,16,1.93,805.5,50.34375
B1A01,D1,2017,Bro.hor,16,8.725,677.2,42.325
B1A01,D1,2017,Car.car,16,0,439.9,27.49375
B1A01,D1,2017,Ger.pra,16,4.8,289.3,18.08125
B1A01,D1,2017,Lat.pra,16,33.34,244.9,15.30625
B1A01,D1,2017,Lot.cor,16,94.665,846.4,52.9
B1A01,D1,2017,Pla.lan,16,167.425,388.4,24.275
B1A01,D1,2017,Poa.pra,16,8.985,311.4,19.4625
B1A01,D1,2017,Ran.rep,16,0.455,121.35,7.584375
B1A01,D1,2017,Tar.off,16,20.66,434.5,27.15625
B1A01,D1,2017,Tra.pra,16,63.285,311.1,19.44375
B1A01,D1,2017,Vic.cra,16,0,148,9.25
B1A01,D1,2018,Aju.rep,16,0,0,0
B1A01,D1,2018,Ant.odo,16,1.415,5.76,0.36
B1A01,D1,2018,Ant.syl,16,0.11,67.98,4.24875
B1A01,D1,2018,Ave.pub,16,22.815,414.8,25.925
B1A01,D1,2018,Bro.hor,16,9.81,601.1,37.56875
B1A01,D1,2018,Car.car,16,0,332.9,20.80625
B1A01,D1,2018,Ger.pra,16,22.81,550.6,34.4125
B1A01,D1,2018,Lat.pra,16,76.44,48.8,3.05
B1A01,D1,2018,Lot.cor,16,0,459.2,28.7
B1A01,D1,2018,Pla.lan,16,5.985,87.11,5.444375
B1A01,D1,2018,Poa.pra,16,56.51,110.1,6.88125
B1A01,D1,2018,Ran.rep,16,16.88,160.73,10.045625
B1A01,D1,2018,Tar.off,16,27.86,161.78,10.11125
B1A01,D1,2018,Tra.pra,16,169.425,0,0
B1A01,D1,2018,Vic.cra,16,0,64.02,4.00125
B1A01,D1,2019,Aju.rep,16,0,0.86,0.05375
B1A01,D1,2019,Ant.odo,16,0.645,34.92,2.1825
B1A01,D1,2019,Ant.syl,16,0,1.04,0.065
B1A01,D1,2019,Ave.pub,16,12.99,255.2,15.95
B1A01,D1,2019,Bro.hor,16,8.935,104.83,6.551875
B1A01,D1,2019,Car.car,16,0,13.2,0.825
B1A01,D1,2019,Ger.pra,16,14.68,207.7,12.98125
B1A01,D1,2019,Lat.pra,16,57.24,66.3,4.14375
B1A01,D1,2019,Lot.cor,16,3.23,244.5,15.28125
B1A01,D1,2019,Pla.lan,16,0,80.5,5.03125
B1A01,D1,2019,Poa.pra,16,186.315,71.2,4.45
B1A01,D1,2019,Ran.rep,16,3.57,32.11,2.006875
B1A01,D1,2019,Tar.off,16,15.295,144.5,9.03125
B1A01,D1,2019,Tra.pra,16,16.135,0,0
B1A01,D1,2019,Vic.cra,16,0,0,0
B1A01,D1,2020,Aju.rep,16,0,6.79,0.424375
B1A01,D1,2020,Ant.odo,16,0.215,8.8,0.55
B1A01,D1,2020,Ant.syl,16,0,13.62,0.85125
B1A01,D1,2020,Ave.pub,16,29.51,209.2,13.075
B1A01,D1,2020,Bro.hor,16,30.665,33.68,2.105
B1A01,D1,2020,Car.car,16,0,5.43,0.339375
B1A01,D1,2020,Ger.pra,16,23.555,158.15,9.884375
B1A01,D1,2020,Lat.pra,16,0.805,0,0
B1A01,D1,2020,Lot.cor,16,0,56.91,3.556875
B1A01,D1,2020,Pla.lan,16,0.11,78.23,4.889375
B1A01,D1,2020,Poa.pra,16,164.4,206.2,12.8875
B1A01,D1,2020,Ran.rep,16,0,0,0
B1A01,D1,2020,Tar.off,16,0.03,38.66,2.41625
B1A01,D1,2020,Tra.pra,16,1.055,0,0
B1A01,D1,2020,Vic.cra,16,0,0,0
B1A01,D1,2021,Aju.rep,16,0,25.5,1.59375
B1A01,D1,2021,Ant.odo,16,1.255,6.92,0.4325
B1A01,D1,2021,Ant.syl,16,0,424.8,26.55
B1A01,D1,2021,Ave.pub,16,40.66,204.5,12.78125
B1A01,D1,2021,Bro.hor,16,16.9,130.3,8.14375
B1A01,D1,2021,Car.car,16,0,12.26,0.76625
B1A01,D1,2021,Ger.pra,16,32.02,550.8,34.425
B1A01,D1,2021,Lat.pra,16,3.205,94.8,5.925
B1A01,D1,2021,Lot.cor,16,0.335,365.9,22.86875
B1A01,D1,2021,Pla.lan,16,14.415,644,40.25
B1A01,D1,2021,Poa.pra,16,114.05,329.3,20.58125
B1A01,D1,2021,Ran.rep,16,0,80.1,5.00625
B1A01,D1,2021,Tar.off,16,0,160.1,10.00625
B1A01,D1,2021,Tra.pra,16,0,0,0
B1A01,D1,2021,Vic.cra,16,0.43,0,0
B1A02,D1,2017,Alo.pra,8,76.5,444,55.5
B1A02,D1,2017,Bro.ere,8,45.945,327.4,40.925
B1A02,D1,2017,Fes.rub,8,448.25,118.4,14.8
B1A02,D1,2017,Ran.acr,8,0,206,25.75
B1A02,D1,2017,San.off,8,0,16.13,2.01625
B1A02,D1,2018,Alo.pra,8,21.825,272.93,34.11625
B1A02,D1,2018,Bro.ere,8,238.57,207.3,25.9125
B1A02,D1,2018,Fes.rub,8,93.005,330.07,41.25875
B1A02,D1,2018,Ran.acr,8,0.54,88.81,11.10125
B1A02,D1,2018,San.off,8,0,82.02,10.2525
